AROKATO;Nom;Etat2001;Dist2001;Longitude;Latitude;Stat_cap;Dist_Cap;Status U/R;Status D;1961;1981;1991;2001;2011
ARR831909;Durgapur;19;9;87.2816;23.5643;0;0;U;M.CORP;209725;415448;432885;503608;580172
ARR841909;Asansol;19;9;86.9612;23.6897;0;0;U;M.CORP;143482;247963;272698;487639;579100
ARR852013;BokaroSteelCity;20;13;86.146362;23.662424;0;0;U;CT;241044;378559;406259;500505;570496
ARR861020;Begusarai;10;20;86.137;25.4225;0;1;U;M;186012;297985;337842;481026;569110
ARR872720;Malegaon;27;20;74.5254;20.5552;0;0;U;M;132735;272814;370798;460067;565354
ARR881915;KismatBajkul;19;15;87.843144;22.002793;0;0;R;R;226107;375800;408026;478550;559012
ARR91936;Jhansi;9;36;78.57654;25.444019;0;1;U;M;233161;362994;411214;465280;549238
ARR92607;Panipat;6;7;76.973;29.3848;0;1;U;M;189235;245158;256317;421222;542636
ARR932904;Gulbarga;29;4;76.8369;17.3396;0;1;U;M.CORP;214535;286046;310920;430265;532031
ARR942410;Jamnagar;24;10;70.057152;22.463656;0;1;U;M.CORP;266608;396329;401074;539889;531854
ARR953329;Tirunelveli;33;29;77.739524;8.721627;0;1;R;R;100723;130882;155260;444913;523004
ARR96826;Udaipur;8;26;73.7008;24.5786;0;1;U;M;199394;303819;338450;431917;517227
ARR972105;Raurkela;21;5;84.8719;22.2238;0;0;U;M;143514;231195;242712;500519;517003
ARR982321;Ujjain;23;21;75.776785;23.18863;0;1;U;M.CORP;142012;278454;362633;431162;515215
ARR992901;Belgaum;29;1;74.523319;15.866045;0;1;U;M.CORP;319363;577506;405569;482548;511858
ARR1001022;Bhagalpur;10;22;86.9748;25.2428;0;1;U;M.CORP;173450;284450;305257;424480;506491
ARR1011035;Gaya;10;35;85.0085;24.7881;0;1;U;M.CORP;118484;300863;318767;422359;505689
ARR21512726;Akola;27;26;74.00815701;19.54250392;0;0;R;R;205357;365638;384370;455577;502583
ARR103902;Muzaffarnagar;9;2;77.7007;29.471;0;1;U;M;162669;257034;280770;394725;500984
ARR1042924;Mangalore;29;24;74.8627;12.8742;0;0;U;M.CORP;226447;319793;445126;439787;484785
ARR105602;Ambala;6;2;76.772315;30.385342;0;1;U;M;144990;201612;212508;410650;469734
ARR1794274;Jalgaon;27;4;76.53366212;21.0513555;0;0;R;R;83702;232505;242193;368618;460468
ARR107914;Mathura;9;14;77.6701;27.4992;0;1;U;M;165975;257001;267733;363390;457100
ARR1082207;Bilaspur;22;7;82.1647;22.0837;0;1;U;M.CORP;165001;283597;302609;395120;450098
ARR1091915;Tamluk;19;15;87.9235;22.2931;0;0;U;M;194275;312498;343635;386197;446371
ARR1101909;Kulti;19;9;86.836447;23.736507;0;0;U;M;202359;298474;318997;406883;443872
ARR1112914;Davanagere;29;14;75.9221;14.4672;0;1;U;M.CORP;161765;289617;293304;371325;441803
ARR112317;Patiala;3;17;76.392;30.3303;0;1;U;M.Corp;120964;220369;270363;344391;433749
ARR1132702;Dhule;27;2;74.768695;20.901141;0;1;U;M;127847;228096;297790;377914;433157
ARR1142814;Rajahmundry;28;14;81.776704;17.006791;0;0;U;M.Corp;244456;433116;466500;451312;431661
ARR115603;Yamunanagar;6;3;77.281898;30.135076;0;0;U;M;190522;261972;272753;352101;427380
ARR1162912;Bellary;29;12;76.9337;15.1444;0;1;U;M.CORP;133042;201579;245391;316766;409644
ARR1171013;Darbhanga;10;13;85.8973;26.1571;0;1;U;M.CORP;147358;223769;289389;360316;407117
ARR1192726;Ahmadnagar;27;26;74.736987;19.093904;0;0;U;M;207269;370972;422764;368893;398693
ARR1202728;Latur;27;28;76.569852;18.395382;0;1;U;M;147420;189548;202372;305910;396769
ARR121922;Shahjahanpur;9;22;79.909962;27.875241;0;1;U;M;190175;245085;285489;361516;396639
ARR1221024;Munger;10;24;86.474443;25.377987;0;1;U;M;144180;278055;299759;354755;395961
ARR123614;Rohtak;6;14;76.5823;28.898;0;1;U;M;93292;211180;240682;323502;391906
ARR1241909;Barddhaman;19;9;87.8652;23.2339;0;1;U;M;162611;264023;280685;338275;388345
ARR1252713;Chandrapur;27;13;79.297344;19.958329;0;1;U;M;173268;244952;276579;351910;385350
ARR1263304;Vellore;33;4;79.137318;12.921237;0;1;U;M;134286;229979;275579;336169;382790
ARR1272119;Brahmapur;21;19;84.7949;19.3154;0;0;U;M;158631;208751;220151;323717;382611
ARR1282814;Kakinada;28;14;82.234678;16.938618;0;0;U;M;209530;359519;370227;393770;377223
ARR129513;Hardwar;5;13;78.107155;29.92847;0;0;U;M;157579;215079;258957;269838;374189
ARR130824;Bhilwara;8;24;74.6303;25.3452;0;1;U;M;136470;182396;193047;290459;372434
ARR1312311;Sagar;23;11;78.738146;23.843872;0;0;U;M.CORP;208061;299889;277376;313237;369947
ARR1322734;Ichalkaranji;27;34;74.4654;16.6858;0;0;U;M;157595;245318;262735;318571;369782
ARR1332425;Vapi;24;25;72.927098;20.366301;0;0;U;M;63805;109604;116717;227795;368792
ARR1342205;Korba;22;5;82.727946;22.366639;0;1;U;M.CORP;71603;120640;126938;319352;368058
ARR1361821;Silchar;18;21;92.7778;24.836;0;0;U;M;121975;190826;208714;306357;358707
ARR1373328;Thoothukkudi;33;28;78.1292;8.79869;0;1;U;M;246907;325615;351531;297247;357275
ARR138326;Palakkad;32;6;76.65720303;10.76985081;0;0;R;R;223844;302774;346147;387512;356874
ARR139806;Alwar;8;6;76.6204;27.5678;0;1;U;M;179883;214132;226162;291851;345864
ARR140929;Farrukhabad-cum-Fatehgarh;9;29;79.57651;27.391413;0;0;U;M;134086;197949;235180;284354;345055
ARR1422820;Cuddapah;28;20;78.8281;14.4793;0;1;U;M;148855;268595;305249;277012;341823
ARR1432802;Nizamabad;28;2;78.0938;18.6708;0;1;U;M;82218;193067;253007;303971;334667
ARR1441027;Bihar;10;27;85.520463;25.192639;0;0;U;M;122598;175051;218504;254983;326840
ARR1452903;Bijapur;29;3;75.706038;16.829653;0;1;U;M.CORP;91334;147313;193131;253891;326360
ARR146314;Bathinda;3;14;74.94151245;30.20796109;0;0;U;M;64139;150688;188231;252659;322750
ARR1472412;Junagadh;24;12;70.463934;21.52006;0;1;U;M;129761;165394;187162;257640;322477
ARR1482915;Shimoga;29;15;75.567438;13.93932;0;1;U;M.CORP;101695;151783;193028;274352;322428
ARR1492918;Tumkur;29;18;77.104711;13.343424;0;1;U;M.CORP;73276;176376;189940;260271;320910
ARR150606;Karnal;6;6;76.9889;29.6855;0;1;U;M;120193;180909;198683;252660;319224
ARR1512415;Anand;24;15;72.949872;22.557168;0;1;U;M;142662;218079;269471;279756;314140
ARR1521009;Purnia;10;9;87.4731;25.7695;0;1;U;M;59188;133118;144585;221992;311295
ARR1531019;Samastipur;10;19;85.7794;25.8653;0;1;U;M;110831;189304;213351;261284;310774
ARR1543321;Thanjavur;33;21;79.133326;10.790739;0;1;U;M;124508;223560;245852;274083;309810
ARR1551815;Dibrugarh;18;15;94.9283;27.4793;0;1;U;M;79107;125706;133693;148488;308319
ARR1561911;Habra;19;11;88.6602;22.8429;0;0;U;M;110470;199304;215292;267398;307681
ARR1572717;Parbhani;27;17;76.77021;19.268881;0;1;U;M;122905;180742;190255;259329;307191
ARR1581915;Kharagpur;19;15;87.3325;22.3451;0;0;U;M;127017;213503;271305;284090;302274
ARR1591503;Aizawl;15;3;92.716307;23.729441;1;1;R;R;97500;145721;160300;233737;298350
ARR160608;Sonipat;6;8;77.0171;28.9929;0;0;U;M;89275;144994;154454;242001;289729
ARR1612323;Dewas;23;23;76.0512;22.9658;0;1;U;M.CORP;77936;149876;164364;231672;289438
ARR162909;Hapur;9;9;77.77797;28.728921;0;0;U;M;91245;147218;159811;230354;285816
ARR163947;Faizabad;9;47;82.1472;26.7801;0;1;U;M;93334;160384;186380;243584;285602
ARR1642718;Jalna;27;18;75.898276;19.844514;0;1;U;M;101567;163818;174985;235795;285349
ARR1651907;Baharampur;19;7;88.2612;24.107;0;0;U;M;114264;165496;177530;238193;284225
ARR1661817;Jorhat;18;17;94.2137;26.7576;0;1;U;M;119785;171550;176465;190147;281108
ARR1673213;Kollam;32;2;76.56667;8.883333;0;0;U;M;124300;258600;362500;380000;280704
ARR1682313;Satna;23;13;80.833007;24.580894;0;1;U;M.CORP;68614;152475;160500;229307;280248
