Idreg,REG,pays,pop1959,pop1970,pop1979,pop1989,pop2002,pop2010,Urb1959,Urb1970,Urb1979,Urb1989,Urb2002,Urb2010,1959,1970,1979,1989,2002,2010,TURB0,TURB11,TURB20,TURB30,TURB43,TURB51
RUS140,MoscouX2,Russie,10949,12836,14370,15522,17001,18599,8518,10822,12561,13942,15419,16961,77.8,84.3,87.4,89.8,90.7,91.2,56.1538593358,67.1538593358,76.1538593358,86.1538593358,99.1538593358,107.1538593358
RUS15,Iakoutie,Russie,487,664,839,1094,949,959,86.7,179.649,278.028,410.462,423.741,461.367,17.8,27.1,33.1,37.5,44.6,48.1,-51.5828654687,-40.5828654687,-31.5828654687,-21.5828654687,-8.5828654687,-0.5828654687
RUS167,Tchétchénie-Ingouchétie-Ossetie,Russie,2767,3267,3524,3897,3839,3705,1035.9,1469.508,1792.415,2103.122,2129.762,2120.088,37.4,45,50.9,54,55.5,57.2,-25.7480330838,-14.7480330838,-5.7480330838,4.2519669162,17.2519669162,25.2519669162
RUS17,Irkoutsk,Russie,1976,2313,2560,2825,2582,2429,1001.775,1413.648,1718.55,1989.42,1833.679,1731.313,50.7,61.1,67.1,70.4,71,71.3,11.5023402495,22.5023402495,31.5023402495,41.5023402495,54.5023402495,62.5023402495
RUS18,Ivanovo,Russie,1322,1339,1321,1314,1148,1062,745.6,864.6,915.4,935.5,835.246,783.771,56.4,64.6,69.3,71.2,72.7,73.8,25.6616823485,36.6616823485,45.6616823485,55.6616823485,68.6616823485,76.6616823485
RUS19,Kabardino-Balkarie,Russie,420,588,675,754,901,860,154.7,270.5,355.4,433.7,492.603,453.139,36.8,46,52.7,57.6,54.6,52.7,-25.4752257685,-14.4752257685,-5.4752257685,4.5247742315,17.5247742315,25.5247742315
RUS20,Kaliningrad,Russie,611,732,807,871,955,942,298.6,451.8,545.1,624.7,674.488,668.896,48.9,61.7,67.6,71.7,70.6,71,9.8926310886,20.8926310886,29.8926310886,39.8926310886,52.8926310886,60.8926310886
RUS21,Kalmykie,Russie,185,268,294,323,292,289,34,63.8,84.8,105.5,118.599,118.051,18.4,23.8,28.9,32.7,40.6,40.8,-64.0961037663,-53.0961037663,-44.0961037663,-34.0961037663,-21.0961037663,-13.0961037663
RUS22,Kalouga,Russie,936,995,1007,1064,1042,1011,262.4,418.879,522.929,652.128,703.477,683.676,28,42.1,51.9,61.3,67.5,67.6,-21.4995151897,-10.4995151897,-1.4995151897,8.5004848103,21.5004848103,29.5004848103
RUS23,Kamtchatka,Russie,221,288,378,472,359,322,85.6,177.903,261.997,327.587,263.727,241.979,38.8,61.9,69.2,69.4,73.5,75.1,-3.0008093634,7.9991906366,16.9991906366,26.9991906366,39.9991906366,47.9991906366
